Word,Count,Percentage
allah,2266,4.48%
lord,730,1.44%
people,592,1.17%
say,493,0.97%
prophet,463,0.91%
surely,453,0.90%
one,417,0.82%
indeed,374,0.74%
us,362,0.72%
day,360,0.71%
