Word,Count,Percentage
one,705,1.27%
said,512,0.92%
would,376,0.68%
verse,337,0.61%
torah,300,0.54%
rabbi,281,0.51%
people,253,0.45%
moses,240,0.43%
may,228,0.41%
word,225,0.40%
