Word,Count,Percentage
jehovah,13,3.16%
god,10,2.43%
thee,8,1.94%
let,8,1.94%
said,5,1.21%
another,5,1.21%
man,5,1.21%
made,4,0.97%
yea,4,0.97%
way,4,0.97%
