Word,Count,Percentage
us,706,1.07%
indra,644,0.97%
thee,607,0.92%
may,580,0.88%
god,518,0.78%
agni,499,0.75%
gods,473,0.72%
one,444,0.67%
verily,440,0.67%
soma,330,0.50%
