Word,Count,Percentage
one,16,1.86%
god,12,1.39%
says,10,1.16%
would,10,1.16%
earth,6,0.70%
lord,6,0.70%
time,6,0.70%
people,6,0.70%
must,6,0.70%
covenant,6,0.70%
