Word,Count,Percentage
jehovah,1009,1.94%
god,616,1.18%
said,585,1.12%
thee,567,1.09%
upon,430,0.82%
israel,422,0.81%
son,409,0.78%
king,390,0.75%
man,389,0.75%
one,338,0.65%
