Word,Count,Percentage
god,70,3.39%
us,47,2.27%
love,39,1.89%
christ,28,1.36%
life,18,0.87%
jesus,18,0.87%
lord,17,0.82%
one,17,0.82%
child,15,0.73%
may,14,0.68%
