Word,Count,Percentage
allah,75,3.54%
us,34,1.61%
quran,24,1.13%
islam,23,1.09%
one,19,0.90%
peace,18,0.85%
brother,17,0.80%
upon,17,0.80%
believe,16,0.76%
prophet,16,0.76%
